#M log_10_prob bin hits hits/sum_hits
#sir_exec simple-sample --graph-type Sw 0.1 -n 3200 --samples 10000000 --transmission 0.1 -j24
0.173125 -inf 554 0 0e0
0.1734375 -inf 555 0 0e0
0.17375000000000002 -inf 556 0 0e0
0.1740625 -inf 557 0 0e0
0.174375 -inf 558 0 0e0
0.1746875 -inf 559 0 0e0
0.17500000000000002 -inf 560 0 0e0
0.1753125 -inf 561 0 0e0
0.175625 -inf 562 0 0e0
0.1759375 -inf 563 0 0e0
0.17625 -inf 564 0 0e0
0.1765625 -inf 565 0 0e0
0.176875 -inf 566 0 0e0
0.1771875 -inf 567 0 0e0
0.1775 -inf 568 0 0e0
0.1778125 -inf 569 0 0e0
0.178125 -inf 570 0 0e0
0.1784375 -inf 571 0 0e0
0.17875 -inf 572 0 0e0
0.1790625 -inf 573 0 0e0
0.179375 -inf 574 0 0e0
0.1796875 -inf 575 0 0e0
0.18 -inf 576 0 0e0
0.18031250000000001 -inf 577 0 0e0
0.180625 -inf 578 0 0e0
0.1809375 -inf 579 0 0e0
0.18125 -inf 580 0 0e0
0.18156250000000002 -inf 581 0 0e0
0.181875 -inf 582 0 0e0
0.1821875 -inf 583 0 0e0
0.1825 -inf 584 0 0e0
0.18281250000000002 -inf 585 0 0e0
0.183125 -inf 586 0 0e0
0.1834375 -inf 587 0 0e0
0.18375 -inf 588 0 0e0
0.1840625 -inf 589 0 0e0
0.184375 -inf 590 0 0e0
0.1846875 -inf 591 0 0e0
0.185 -inf 592 0 0e0
0.1853125 -inf 593 0 0e0
0.185625 -inf 594 0 0e0
0.1859375 -inf 595 0 0e0
0.18625 -inf 596 0 0e0
0.1865625 -inf 597 0 0e0
0.186875 -inf 598 0 0e0
0.1871875 -inf 599 0 0e0
0.1875 -inf 600 0 0e0
0.1878125 -inf 601 0 0e0
0.18812500000000001 -inf 602 0 0e0
0.1884375 -inf 603 0 0e0
0.18875 -inf 604 0 0e0
0.1890625 -inf 605 0 0e0
0.18937500000000002 -inf 606 0 0e0
0.1896875 -inf 607 0 0e0
0.19 -inf 608 0 0e0
0.1903125 -inf 609 0 0e0
0.19062500000000002 -inf 610 0 0e0
0.1909375 -inf 611 0 0e0
0.19125 -inf 612 0 0e0
0.1915625 -inf 613 0 0e0
0.19187500000000002 -inf 614 0 0e0
0.1921875 -inf 615 0 0e0
0.1925 -inf 616 0 0e0
0.1928125 -inf 617 0 0e0
0.193125 -inf 618 0 0e0
0.1934375 -inf 619 0 0e0
0.19375 -inf 620 0 0e0
0.1940625 -inf 621 0 0e0
0.194375 -inf 622 0 0e0
0.1946875 -inf 623 0 0e0
0.195 -inf 624 0 0e0
0.1953125 -inf 625 0 0e0
0.195625 -inf 626 0 0e0
0.19593750000000001 -inf 627 0 0e0
0.19625 -inf 628 0 0e0
0.1965625 -inf 629 0 0e0
0.196875 -inf 630 0 0e0
0.19718750000000002 -inf 631 0 0e0
0.1975 -inf 632 0 0e0
0.1978125 -inf 633 0 0e0
0.198125 -inf 634 0 0e0
0.19843750000000002 -inf 635 0 0e0
0.19875 -inf 636 0 0e0
0.1990625 -inf 637 0 0e0
0.199375 -inf 638 0 0e0
0.19968750000000002 -inf 639 0 0e0
0.2 -inf 640 0 0e0
0.2003125 -inf 641 0 0e0
0.200625 -inf 642 0 0e0
0.2009375 -inf 643 0 0e0
0.20125 -inf 644 0 0e0
